1862	3	3
1864	9	18
1866	148	43
1868	6	62
1870	9	10
1872	25	8
1874	50	30
1876	90	47
1878	70	42
1880	10	12
1882	11	13
1884	42	35
1886	130	72
1888	50	30
1890	18	22
1892	40	15
1894	78	40
1896	35	36
1898	5	23
1900	30	4
1901	47.2	6.1
1902	70.2	9.8
1903	77.4	35.2
1904	36.3	59.4
1905	20.6	41.7
1906	18.1	19
1907	21.4	13
1908	22	8.3
1909	25.4	9.1
1910	27.1	7.4
1911	40.3	8
1912	57	12.3
1913	76.6	19.5
1914	52.3	45.7
1915	19.5	51.1
1916	11.2	29.7
1917	7.6	15.8
1918	14.6	9.7
1919	16.2	10.1
1920	24.7	8.6
1921	33	18.8
1922	37.1	25.6
1923	41.2	34.2
1924	35.7	41.9
1925	14.9	47
1926	4.5	53
1927	0.9	42.7
1928	0.9	31.6
1929	1.8	20.5
1930	2.7	10.3
